"name","address","city","zip","state","country","phone","email","website","openingHours","lat","lng","accuracy","error"
"BIG Y WORLD CLASS MKT #48","65 Palomba Dr","ENFIELD","6082","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06082","","41.9926158","'-72.5722361","User provided",""
"Quick Stop Convenient Store","1125 Willard Ave","NEWINGTON","6111","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06111","","41.6834064","'-72.7310228","User provided",""
"7-ELEVEN STORE #15123A","903 Hartford Tpke","VERNON","6066","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06066","","41.8455804","'-72.454495","User provided",""
"Tropical Deli llc","79 Lake Ave","DANBURY","6810","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06810","","41.3888309","'-73.4705438","User provided",""
"STOP & SHOP #650","1160 Kings Hwy Cutoff","FAIRFIELD","6824","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06824","","41.1506308","'-73.2443083","User provided",""
"Huntington Center Gulf","20 Huntington St","SHELTON","6484","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06484","","41.2959337","'-73.1460934","User provided",""
"MERCURY #41 WETHERSFIELD","151 Silas Deane Hwy","WETHERSFIELD","6109","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06109","","41.723211","'-72.668755","User provided",""
"T-VILLE FOODMART","98 Pearl St","ENFIELD","6082","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06082","","41.9951241","'-72.5989948","User provided",""
"VISELS DRUG STORE INC.","714 DIXWELL AVE","NEW HAVEN","6511","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06511","","41.332667","'-72.935562","User provided",""
"Martinez Mini Market","110 South St","HARTFORD","6114","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06114","","41.7353735","'-72.6759502","User provided",""
"PORTLAND QUICK MART LLC","315 Marlborough St","PORTLAND","6480","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06480","","41.568178","'-72.627769","User provided",""
"MERCURY #43 Westport","322 Post Rd E","WESTPORT","6880","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06880","","41.140737","'-73.3543516","User provided",""
"Shell","1139 Post Rd","FAIRFIELD","6430","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06430","","41.1439601","'-73.2537092","User provided",""
"BIG Y WORLD CLASS MKT#59","504 WINSTED RD","TORRINGTON","6790","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06790","","41.8268507","'-73.1116197","User provided",""
"Cumberland Farms #4758","741 Cromwell Avenue","ROCKY HILL","6067","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06067","","41.650233","'-72.679528","User provided",""
